index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,decade
1250,tm135307,Blackhat,MOVIE,2015,R,133,action,['US'],1.0,tt2717822,5.4,58192.0,2010
1250,tm135307,Blackhat,MOVIE,2015,R,133,crime,['US'],1.0,tt2717822,5.4,58192.0,2010
1251,ts42170,Crashing,SHOW,2016,TV-MA,30,comedy,['GB'],1.0,tt5295524,7.7,18546.0,2010
1251,ts42170,Crashing,SHOW,2016,TV-MA,30,european,['GB'],1.0,tt5295524,7.7,18546.0,2010
1252,ts70529,Norsemen,SHOW,2016,TV-MA,30,comedy,['NO'],3.0,tt5905354,7.7,18040.0,2010
1252,ts70529,Norsemen,SHOW,2016,TV-MA,30,drama,['NO'],3.0,tt5905354,7.7,18040.0,2010
1253,tm138905,The Hateful Eight,MOVIE,2015,R,188,western,['US'],1.0,tt3460252,7.8,570138.0,2010
1253,tm138905,The Hateful Eight,MOVIE,2015,R,188,crime,['US'],1.0,tt3460252,7.8,570138.0,2010
1253,tm138905,The Hateful Eight,MOVIE,2015,R,188,drama,['US'],1.0,tt3460252,7.8,570138.0,2010
1253,tm138905,The Hateful Eight,MOVIE,2015,R,188,thriller,['US'],1.0,tt3460252,7.8,570138.0,2010
1254,tm137693,Crimson Peak,MOVIE,2015,R,119,thriller,['US'],1.0,tt2554274,6.5,143899.0,2010
1254,tm137693,Crimson Peak,MOVIE,2015,R,119,drama,['US'],1.0,tt2554274,6.5,143899.0,2010
1254,tm137693,Crimson Peak,MOVIE,2015,R,119,horror,['US'],1.0,tt2554274,6.5,143899.0,2010
1254,tm137693,Crimson Peak,MOVIE,2015,R,119,romance,['US'],1.0,tt2554274,6.5,143899.0,2010
1254,tm137693,Crimson Peak,MOVIE,2015,R,119,fantasy,['US'],1.0,tt2554274,6.5,143899.0,2010
1255,ts18010,Bloodline,SHOW,2015,TV-MA,57,drama,['US'],3.0,tt0219432,7.9,50028.0,2010
1255,ts18010,Bloodline,SHOW,2015,TV-MA,57,thriller,['US'],3.0,tt0219432,7.9,50028.0,2010
1256,ts38718,Slasher,SHOW,2016,TV-MA,46,drama,['CA'],4.0,tt13976072,6.7,14071.0,2010
1256,ts38718,Slasher,SHOW,2016,TV-MA,46,horror,['CA'],4.0,tt13976072,6.7,14071.0,2010
1256,ts38718,Slasher,SHOW,2016,TV-MA,46,thriller,['CA'],4.0,tt13976072,6.7,14071.0,2010
1256,ts38718,Slasher,SHOW,2016,TV-MA,46,crime,['CA'],4.0,tt13976072,6.7,14071.0,2010
1257,tm136465,Tangerine,MOVIE,2015,R,87,comedy,['US'],1.0,tt3824458,7.1,31385.0,2010
1257,tm136465,Tangerine,MOVIE,2015,R,87,drama,['US'],1.0,tt3824458,7.1,31385.0,2010
1257,tm136465,Tangerine,MOVIE,2015,R,87,crime,['US'],1.0,tt3824458,7.1,31385.0,2010
1258,ts42120,Travelers,SHOW,2016,TV-MA,45,scifi,['CA'],3.0,tt5651844,8.0,54566.0,2010
1258,ts42120,Travelers,SHOW,2016,TV-MA,45,drama,['CA'],3.0,tt5651844,8.0,54566.0,2010
1258,ts42120,Travelers,SHOW,2016,TV-MA,45,thriller,['CA'],3.0,tt5651844,8.0,54566.0,2010
1258,ts42120,Travelers,SHOW,2016,TV-MA,45,crime,['CA'],3.0,tt5651844,8.0,54566.0,2010
1259,tm195209,Legend,MOVIE,2015,R,132,thriller,"['US', 'FR', 'GB']",1.0,tt3569230,6.9,175273.0,2010
1259,tm195209,Legend,MOVIE,2015,R,132,crime,"['US', 'FR', 'GB']",1.0,tt3569230,6.9,175273.0,2010
1259,tm195209,Legend,MOVIE,2015,R,132,drama,"['US', 'FR', 'GB']",1.0,tt3569230,6.9,175273.0,2010
1259,tm195209,Legend,MOVIE,2015,R,132,european,"['US', 'FR', 'GB']",1.0,tt3569230,6.9,175273.0,2010
1260,ts36631,Narcos,SHOW,2015,TV-MA,52,drama,['US'],3.0,tt2707408,8.8,404486.0,2010
1260,ts36631,Narcos,SHOW,2015,TV-MA,52,thriller,['US'],3.0,tt2707408,8.8,404486.0,2010
1260,ts36631,Narcos,SHOW,2015,TV-MA,52,crime,['US'],3.0,tt2707408,8.8,404486.0,2010
1261,ts42062,Miraculous: Tales of Ladybug & Cat Noir,SHOW,2015,TV-Y7,22,family,['FR'],4.0,tt2580046,7.7,10102.0,2010
1261,ts42062,Miraculous: Tales of Ladybug & Cat Noir,SHOW,2015,TV-Y7,22,fantasy,['FR'],4.0,tt2580046,7.7,10102.0,2010
1261,ts42062,Miraculous: Tales of Ladybug & Cat Noir,SHOW,2015,TV-Y7,22,romance,['FR'],4.0,tt2580046,7.7,10102.0,2010
1261,ts42062,Miraculous: Tales of Ladybug & Cat Noir,SHOW,2015,TV-Y7,22,animation,['FR'],4.0,tt2580046,7.7,10102.0,2010
1261,ts42062,Miraculous: Tales of Ladybug & Cat Noir,SHOW,2015,TV-Y7,22,action,['FR'],4.0,tt2580046,7.7,10102.0,2010
1262,ts41956,Designated Survivor,SHOW,2016,TV-PG,44,war,['US'],3.0,tt5296406,7.5,88019.0,2010
1262,ts41956,Designated Survivor,SHOW,2016,TV-PG,44,action,['US'],3.0,tt5296406,7.5,88019.0,2010
1262,ts41956,Designated Survivor,SHOW,2016,TV-PG,44,drama,['US'],3.0,tt5296406,7.5,88019.0,2010
1262,ts41956,Designated Survivor,SHOW,2016,TV-PG,44,thriller,['US'],3.0,tt5296406,7.5,88019.0,2010
